team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,winner,time_of_day,series,player_of_match,player_of_match_team,toss,toss_decision,ground_country,winner_played_at,year
West Indies,Australia,172,173,9,9,Australia,Day and night,Benson & Hedges World Series,Paul Reiffel,Australia,West Indies,bat first,Australia,home,1996
West Indies,Sri Lanka,194,124,10,10,West Indies,Day,Benson & Hedges World Series,Shivnarine Chanderpaul,West Indies,Sri Lanka,field first,Australia,away,1996
Sri Lanka,West Indies,102,104,10,3,West Indies,Day and night,Benson & Hedges World Series,Curtly Ambrose,West Indies,Sri Lanka,bat first,Australia,away,1996
West Indies,Australia,231,217,10,10,West Indies,Day,Benson & Hedges World Series,Ottis Gibson,West Indies,Australia,field first,Australia,away,1996
Australia,Sri Lanka,213,214,5,7,Sri Lanka,Day and night,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,Australia,bat first,Australia,away,1996
South Africa,England,211,205,8,10,South Africa,Day and night,England tour of South Africa,Shaun Pollock,South Africa,South Africa,bat first,South Africa,home,1996
South Africa,England,262,265,8,5,England,Day and night,England tour of South Africa,Mike Atherton,England,South Africa,bat first,South Africa,away,1996
Australia,Sri Lanka,266,183,6,9,Australia,Day and night,Benson & Hedges World Series,Mark Waugh,Australia,Australia,bat first,Australia,home,1996
England,South Africa,198,199,8,7,South Africa,Day,England tour of South Africa,Shaun Pollock,South Africa,England,bat first,South Africa,home,1996
Sri Lanka,West Indies,202,186,10,9,Sri Lanka,Day,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,West Indies,field first,Australia,away,1996
England,South Africa,272,276,8,3,South Africa,Day,England tour of South Africa,Gary Kirsten,South Africa,England,bat first,South Africa,home,1996
Australia,Sri Lanka,242,246,4,7,Sri Lanka,Day and night,Benson & Hedges World Series,Romesh Kaluwitharana,Sri Lanka,Australia,bat first,Australia,away,1996
England,South Africa,184,185,10,5,South Africa,Day and night,England tour of South Africa,Allan Donald,South Africa,South Africa,field first,South Africa,home,1996
South Africa,England,129,115,10,10,South Africa,Day and night,England tour of South Africa,Paul Adams,South Africa,South Africa,bat first,South Africa,home,1996
South Africa,England,218,154,9,10,South Africa,Day,England tour of South Africa,Adrian Kuiper,South Africa,South Africa,bat first,South Africa,home,1996
New Zealand,Zimbabwe,278,204,5,10,New Zealand,Day,Zimbabwe tour of New Zealand,Nathan Astle,New Zealand,New Zealand,bat first,New Zealand,home,1996
Zimbabwe,New Zealand,181,184,9,4,New Zealand,Day,Zimbabwe tour of New Zealand,Stephen Fleming,New Zealand,Zimbabwe,bat first,New Zealand,home,1996
Zimbabwe,New Zealand,267,246,7,10,Zimbabwe,Day and night,Zimbabwe tour of New Zealand,Andy Flower,Zimbabwe,New Zealand,field first,New Zealand,away,1996
New Zealand,England,239,228,6,9,New Zealand,Day,Wills World Cup,Nathan Astle,New Zealand,England,field first,India,away,1996
South Africa,United Arab Emirates,321,152,2,8,South Africa,Day,Wills World Cup,Gary Kirsten,South Africa,United Arab Emirates,field first,Pakistan,away,1996
Zimbabwe,West Indies,151,155,9,4,West Indies,Day and night,Wills World Cup,Curtly Ambrose,West Indies,Zimbabwe,bat first,India,away,1996
New Zealand,Netherlands,307,188,8,7,New Zealand,Day,Wills World Cup,Craig Spearman,New Zealand,New Zealand,bat first,India,away,1996
Kenya,India,199,203,6,3,India,Day,Wills World Cup,Sachin Tendulkar,India,India,field first,India,home,1996
United Arab Emirates,England,136,140,10,2,England,Day,Wills World Cup,Neil Smith,England,United Arab Emirates,bat first,Pakistan,away,1996
New Zealand,South Africa,177,178,9,5,South Africa,Day,Wills World Cup,Hansie Cronje,South Africa,New Zealand,bat first,Pakistan,away,1996
Zimbabwe,Sri Lanka,228,229,6,4,Sri Lanka,Day,Wills World Cup,Aravinda de Silva,Sri Lanka,Zimbabwe,bat first,Sri Lanka,home,1996
West Indies,India,173,174,10,5,India,Day and night,Wills World Cup,Sachin Tendulkar,India,West Indies,bat first,India,home,1996
England,Netherlands,279,230,4,6,England,Day,Wills World Cup,Graeme Hick,England,England,bat first,Pakistan,away,1996
Australia,Kenya,304,207,7,7,Australia,Day,Wills World Cup,Mark Waugh,Australia,Kenya,field first,India,away,1996
United Arab Emirates,Pakistan,109,112,9,1,Pakistan,Day,Wills World Cup,Mushtaq Ahmed,Pakistan,Pakistan,field first,Pakistan,home,1996
South Africa,England,230,152,10,10,South Africa,Day,Wills World Cup,Jonty Rhodes,South Africa,South Africa,bat first,Pakistan,away,1996
Netherlands,Pakistan,145,151,7,2,Pakistan,Day,Wills World Cup,Waqar Younis,Pakistan,Netherlands,bat first,Pakistan,home,1996
Kenya,Zimbabwe,134,137,10,5,Zimbabwe,Day,Wills World Cup,Paul Strang,Zimbabwe,Zimbabwe,field first,India,away,1996
New Zealand,United Arab Emirates,276,167,8,9,New Zealand,Day,Wills World Cup,Roger Twose,New Zealand,United Arab Emirates,field first,Pakistan,away,1996
Australia,India,258,242,10,10,Australia,Day and night,Wills World Cup,Mark Waugh,Australia,Australia,bat first,India,away,1996
Kenya,West Indies,166,93,10,10,Kenya,Day,Wills World Cup,Maurice Odumbe,Kenya,West Indies,field first,India,away,1996
Pakistan,South Africa,242,243,6,5,South Africa,Day,Wills World Cup,Hansie Cronje,South Africa,Pakistan,bat first,Pakistan,away,1996
Zimbabwe,Australia,154,158,10,2,Australia,Day,Wills World Cup,Shane Warne,Australia,Zimbabwe,bat first,India,away,1996
Netherlands,United Arab Emirates,216,220,9,3,U.A.E.,Day,Wills World Cup,Saleem Raza,United Arab Emirates,United Arab Emirates,field first,Pakistan,away,1996
India,Sri Lanka,271,272,3,4,Sri Lanka,Day,Wills World Cup,Sanath Jayasuriya,Sri Lanka,Sri Lanka,field first,India,away,1996
England,Pakistan,249,250,9,3,Pakistan,Day,Wills World Cup,Aamer Sohail,Pakistan,England,bat first,Pakistan,home,1996
Australia,West Indies,229,232,6,6,West Indies,Day,Wills World Cup,Richie Richardson,West Indies,Australia,bat first,India,away,1996
South Africa,Netherlands,328,168,3,8,South Africa,Day,Wills World Cup,Andrew Hudson,South Africa,South Africa,bat first,Pakistan,away,1996
India,Zimbabwe,247,207,5,10,India,Day,Wills World Cup,Ajay Jadeja,India,Zimbabwe,field first,India,home,1996
Sri Lanka,Kenya,398,254,5,7,Sri Lanka,Day,Wills World Cup,Aravinda de Silva,Sri Lanka,Kenya,field first,Sri Lanka,home,1996
Pakistan,New Zealand,281,235,5,10,Pakistan,Day,Wills World Cup,Saleem Malik,Pakistan,New Zealand,field first,Pakistan,home,1996
England,Sri Lanka,235,236,8,5,Sri Lanka,Day,Wills World Cup,Sanath Jayasuriya,Sri Lanka,England,bat first,Pakistan,away,1996
India,Pakistan,287,248,8,9,India,Day and night,Wills World Cup,Navjot Sidhu,India,India,bat first,India,home,1996
West Indies,South Africa,264,245,8,10,West Indies,Day,Wills World Cup,Brian Lara,West Indies,West Indies,bat first,Pakistan,away,1996
New Zealand,Australia,286,289,9,4,Australia,Day and night,Wills World Cup,Mark Waugh,Australia,New Zealand,bat first,India,away,1996
Sri Lanka,India,251,120,8,8,Sri Lanka,Day and night,Wills World Cup,Aravinda de Silva,Sri Lanka,India,field first,India,away,1996
Australia,Sri Lanka,241,245,7,3,Sri Lanka,Day and night,Wills World Cup,Aravinda de Silva,Sri Lanka,Sri Lanka,field first,Pakistan,away,1996
New Zealand,West Indies,243,247,10,9,West Indies,Day,New Zealand tour of West Indies,Dipak Patel,New Zealand,West Indies,field first,West Indies,home,1996
West Indies,New Zealand,238,239,7,6,New Zealand,Day,New Zealand tour of West Indies,Stephen Fleming,New Zealand,New Zealand,field first,West Indies,away,1996
New Zealand,West Indies,219,225,8,3,West Indies,Day,New Zealand tour of West Indies,Brian Lara,West Indies,New Zealand,bat first,West Indies,home,1996
Sri Lanka,Pakistan,349,315,9,10,Sri Lanka,Day,Singer Cup,Sanath Jayasuriya,Sri Lanka,Pakistan,field first,Singapore,away,1996
India,Sri Lanka,199,187,10,10,India,Day,Singer Cup,Javagal Srinath,India,India,bat first,Singapore,away,1996
New Zealand,West Indies,158,154,10,10,New Zealand,Day,New Zealand tour of West Indies,Dipak Patel,New Zealand,West Indies,field first,Guyana,away,1996
India,Pakistan,226,190,8,2,Pakistan,Day,Singer Cup,Aamer Sohail,Pakistan,Pakistan,field first,Singapore,away,1996
New Zealand,West Indies,241,242,8,3,West Indies,Day,New Zealand tour of West Indies,Phil Simmons,West Indies,West Indies,field first,West Indies,home,1996
Pakistan,Sri Lanka,215,172,10,10,Pakistan,Day,Singer Cup,Saqlain Mushtaq,Pakistan,Sri Lanka,field first,Singapore,away,1996
